graph_type,size,probabilities,objective_value,time_ms,iterations,branch_and_bound_nodes
gnp_random_graph,10,0.5,5.0,7,0,0
gnp_random_graph,10,0.8,2.0,10,0,0
gnp_random_graph,20,0.5,4.0,17,0,0
gnp_random_graph,20,0.8,3.0,16,0,0
gnp_random_graph,40,0.5,6.0,64,0,0
gnp_random_graph,40,0.8,4.0,52,0,0
gnp_random_graph,80,0.5,6.0,6330,0,0
gnp_random_graph,80,0.8,4.0,186,0,0
gnp_random_graph,100,0.5,7.0,24286,0,0
gnp_random_graph,100,0.8,4.0,328,0,0
gnp_random_graph,10,0.5,2.0,28,0,0
gnp_random_graph,10,0.8,3.0,17,0,0
gnp_random_graph,20,0.5,4.0,57,0,0
gnp_random_graph,20,0.8,3.0,44,0,0
gnp_random_graph,40,0.5,6.0,645,0,0
gnp_random_graph,40,0.8,4.0,175,0,0
gnp_random_graph,80,0.5,6.0,12211,0,0
gnp_random_graph,80,0.8,4.0,387,0,0
gnp_random_graph,100,0.5,7.0,33935,0,0
gnp_random_graph,100,0.8,4.0,676,0,0
gnp_random_graph,10,0.5,4.0,17,0,0
gnp_random_graph,10,0.8,2.0,23,0,0
gnp_random_graph,20,0.5,4.0,32,0,0
gnp_random_graph,20,0.8,3.0,46,0,0
gnp_random_graph,40,0.5,6.0,373,0,0
gnp_random_graph,40,0.8,4.0,96,0,0
gnp_random_graph,80,0.5,6.0,4711,0,0
gnp_random_graph,80,0.8,4.0,478,0,0
gnp_random_graph,100,0.5,6.0,23022,0,0
gnp_random_graph,100,0.8,4.0,703,0,0
gnp_random_graph,10,0.5,4.0,21,0,0
gnp_random_graph,10,0.8,2.0,22,0,0
gnp_random_graph,20,0.5,5.0,38,0,0
gnp_random_graph,20,0.8,4.0,40,0,0
gnp_random_graph,40,0.5,4.0,99,0,0
gnp_random_graph,40,0.8,4.0,89,0,0
gnp_random_graph,80,0.5,7.0,13094,0,0
gnp_random_graph,80,0.8,4.0,356,0,0
gnp_random_graph,100,0.5,7.0,89256,0,0
gnp_random_graph,100,0.8,4.0,843,0,0
gnp_random_graph,10,0.5,3.0,22,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,4.0,39,0,0
gnp_random_graph,20,0.8,4.0,41,0,0
gnp_random_graph,40,0.5,6.0,224,0,0
gnp_random_graph,40,0.8,3.0,40,0,0
gnp_random_graph,80,0.5,6.0,3603,0,0
gnp_random_graph,80,0.8,4.0,577,0,0
gnp_random_graph,100,0.5,7.0,35898,0,0
gnp_random_graph,100,0.8,4.0,863,0,0
gnp_random_graph,10,0.5,4.0,21,0,0
gnp_random_graph,10,0.8,2.0,19,0,0
gnp_random_graph,20,0.5,5.0,38,0,0
gnp_random_graph,20,0.8,4.0,34,0,0
gnp_random_graph,40,0.5,6.0,138,0,0
gnp_random_graph,40,0.8,4.0,154,0,0
gnp_random_graph,80,0.5,6.0,8485,0,0
gnp_random_graph,80,0.8,4.0,502,0,0
gnp_random_graph,100,0.5,7.0,40184,0,0
gnp_random_graph,100,0.8,4.0,713,0,0
gnp_random_graph,10,0.5,4.0,19,0,0
gnp_random_graph,10,0.8,2.0,24,0,0
gnp_random_graph,20,0.5,5.0,35,0,0
gnp_random_graph,20,0.8,4.0,39,0,0
gnp_random_graph,40,0.5,6.0,240,0,0
gnp_random_graph,40,0.8,4.0,150,0,0
gnp_random_graph,80,0.5,7.0,15844,0,0
gnp_random_graph,80,0.8,4.0,425,0,0
gnp_random_graph,100,0.5,7.0,33642,0,0
gnp_random_graph,100,0.8,4.0,764,0,0
gnp_random_graph,10,0.5,4.0,18,0,0
gnp_random_graph,10,0.8,3.0,19,0,0
gnp_random_graph,20,0.5,5.0,43,0,0
gnp_random_graph,20,0.8,3.0,44,0,0
gnp_random_graph,40,0.5,5.0,125,0,0
gnp_random_graph,40,0.8,3.0,64,0,0
gnp_random_graph,80,0.5,6.0,6881,0,0
gnp_random_graph,80,0.8,4.0,472,0,0
gnp_random_graph,100,0.5,7.0,42935,0,0
gnp_random_graph,100,0.8,4.0,862,0,0
gnp_random_graph,10,0.5,3.0,22,0,0
gnp_random_graph,10,0.8,2.0,25,0,0
gnp_random_graph,20,0.5,4.0,32,0,0
gnp_random_graph,20,0.8,2.0,46,0,0
gnp_random_graph,40,0.5,6.0,211,0,0
gnp_random_graph,40,0.8,4.0,132,0,0
gnp_random_graph,80,0.5,6.0,7465,0,0
gnp_random_graph,80,0.8,4.0,547,0,0
gnp_random_graph,100,0.5,6.0,16684,0,0
gnp_random_graph,100,0.8,4.0,1047,0,0
gnp_random_graph,10,0.5,4.0,36,0,0
gnp_random_graph,10,0.8,2.0,29,0,0
gnp_random_graph,20,0.5,5.0,49,0,0
gnp_random_graph,20,0.8,2.0,40,0,0
gnp_random_graph,40,0.5,6.0,547,0,0
gnp_random_graph,40,0.8,2.0,81,0,0
gnp_random_graph,10,0.5,4.0,10,0,0
gnp_random_graph,10,0.8,2.0,9,0,0
gnp_random_graph,20,0.5,5.0,17,0,0
gnp_random_graph,20,0.8,3.0,30,0,0
gnp_random_graph,40,0.5,5.0,191,0,0
gnp_random_graph,40,0.8,4.0,123,0,0
gnp_random_graph,80,0.5,6.0,8552,0,0
gnp_random_graph,80,0.8,4.0,459,0,0
gnp_random_graph,100,0.5,6.0,16773,0,0
gnp_random_graph,100,0.8,4.0,796,0,0
gnp_random_graph,10,0.5,4.0,18,0,0
gnp_random_graph,10,0.8,2.0,17,0,0
gnp_random_graph,20,0.5,4.0,34,0,0
gnp_random_graph,20,0.8,4.0,38,0,0
gnp_random_graph,40,0.5,6.0,241,0,0
gnp_random_graph,40,0.8,4.0,99,0,0
gnp_random_graph,80,0.5,7.0,16324,0,0
gnp_random_graph,80,0.8,4.0,489,0,0
gnp_random_graph,100,0.5,7.0,33177,0,0
gnp_random_graph,100,0.8,4.0,537,0,0
gnp_random_graph,10,0.5,4.0,19,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,5.0,42,0,0
gnp_random_graph,20,0.8,2.0,41,0,0
gnp_random_graph,40,0.5,6.0,228,0,0
gnp_random_graph,40,0.8,4.0,125,0,0
gnp_random_graph,80,0.5,6.0,6608,0,0
gnp_random_graph,80,0.8,4.0,449,0,0
gnp_random_graph,100,0.5,7.0,66433,0,0
gnp_random_graph,100,0.8,4.0,793,0,0
gnp_random_graph,10,0.5,4.0,8,0,0
gnp_random_graph,10,0.8,2.0,15,0,0
gnp_random_graph,20,0.5,6.0,48,0,0
gnp_random_graph,20,0.8,3.0,46,0,0
gnp_random_graph,40,0.5,6.0,327,0,0
gnp_random_graph,40,0.8,4.0,144,0,0
gnp_random_graph,80,0.5,6.0,7105,0,0
gnp_random_graph,80,0.8,4.0,456,0,0
gnp_random_graph,100,0.5,8.0,201308,0,0
gnp_random_graph,100,0.8,4.0,603,0,0
gnp_random_graph,10,0.5,4.0,26,0,0
gnp_random_graph,10,0.8,4.0,19,0,0
gnp_random_graph,20,0.5,4.0,33,0,0
gnp_random_graph,20,0.8,3.0,36,0,0
gnp_random_graph,40,0.5,6.0,253,0,0
gnp_random_graph,40,0.8,4.0,154,0,0
gnp_random_graph,80,0.5,6.0,10354,0,0
gnp_random_graph,80,0.8,4.0,423,0,0
gnp_random_graph,100,0.5,7.0,44934,0,0
gnp_random_graph,100,0.8,4.0,577,0,0
gnp_random_graph,10,0.5,4.0,8,0,0
gnp_random_graph,10,0.8,3.0,18,0,0
gnp_random_graph,20,0.5,5.0,30,0,0
gnp_random_graph,20,0.8,4.0,28,0,0
gnp_random_graph,40,0.5,6.0,371,0,0
gnp_random_graph,40,0.8,3.0,106,0,0
gnp_random_graph,80,0.5,6.0,8932,0,0
gnp_random_graph,80,0.8,4.0,440,0,0
gnp_random_graph,100,0.5,7.0,39750,0,0
gnp_random_graph,100,0.8,4.0,804,0,0
gnp_random_graph,10,0.5,3.0,34,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,5.0,43,0,0
gnp_random_graph,20,0.8,4.0,48,0,0
gnp_random_graph,40,0.5,6.0,295,0,0
gnp_random_graph,40,0.8,3.0,126,0,0
gnp_random_graph,80,0.5,7.0,18533,0,0
gnp_random_graph,80,0.8,4.0,504,0,0
gnp_random_graph,100,0.5,6.0,12689,0,0
gnp_random_graph,100,0.8,4.0,710,0,0
gnp_random_graph,10,0.5,4.0,23,0,0
gnp_random_graph,10,0.8,2.0,20,0,0
gnp_random_graph,20,0.5,4.0,34,0,0
gnp_random_graph,20,0.8,2.0,38,0,0
gnp_random_graph,40,0.5,6.0,229,0,0
gnp_random_graph,40,0.8,4.0,54,0,0
gnp_random_graph,80,0.5,6.0,5258,0,0
gnp_random_graph,80,0.8,4.0,375,0,0
gnp_random_graph,100,0.5,6.0,22071,0,0
gnp_random_graph,100,0.8,4.0,696,0,0
gnp_random_graph,10,0.5,5.0,18,0,0
gnp_random_graph,10,0.8,4.0,20,0,0
gnp_random_graph,20,0.5,4.0,45,0,0
gnp_random_graph,20,0.8,3.0,35,0,0
gnp_random_graph,40,0.5,6.0,265,0,0
gnp_random_graph,40,0.8,4.0,114,0,0
gnp_random_graph,80,0.5,6.0,3672,0,0
gnp_random_graph,80,0.8,4.0,512,0,0
gnp_random_graph,100,0.5,7.0,34670,0,0
gnp_random_graph,100,0.8,4.0,487,0,0
gnp_random_graph,10,0.5,3.0,12,0,0
gnp_random_graph,10,0.8,2.0,29,0,0
gnp_random_graph,20,0.5,4.0,32,0,0
gnp_random_graph,20,0.8,4.0,49,0,0
gnp_random_graph,40,0.5,6.0,140,0,0
gnp_random_graph,40,0.8,4.0,93,0,0
gnp_random_graph,80,0.5,6.0,6152,0,0
gnp_random_graph,80,0.8,4.0,470,0,0
gnp_random_graph,100,0.5,6.0,22729,0,0
gnp_random_graph,100,0.8,4.0,848,0,0
gnp_random_graph,10,0.5,2.0,23,0,0
gnp_random_graph,10,0.8,2.0,17,0,0
gnp_random_graph,20,0.5,5.0,53,0,0
gnp_random_graph,20,0.8,2.0,47,0,0
gnp_random_graph,40,0.5,6.0,287,0,0
gnp_random_graph,40,0.8,4.0,120,0,0
gnp_random_graph,80,0.5,6.0,6368,0,0
gnp_random_graph,80,0.8,4.0,379,0,0
gnp_random_graph,100,0.5,7.0,37117,0,0
gnp_random_graph,100,0.8,4.0,771,0,0
gnp_random_graph,10,0.5,4.0,19,0,0
gnp_random_graph,10,0.8,3.0,21,0,0
gnp_random_graph,20,0.5,5.0,50,0,0
gnp_random_graph,20,0.8,2.0,44,0,0
gnp_random_graph,40,0.5,6.0,301,0,0
gnp_random_graph,40,0.8,4.0,146,0,0
gnp_random_graph,80,0.5,6.0,8191,0,0
gnp_random_graph,80,0.8,4.0,461,0,0
gnp_random_graph,100,0.5,6.0,15819,0,0
gnp_random_graph,100,0.8,4.0,454,0,0
gnp_random_graph,10,0.5,4.0,9,0,0
gnp_random_graph,10,0.8,3.0,9,0,0
gnp_random_graph,20,0.5,4.0,11,0,0
gnp_random_graph,20,0.8,4.0,15,0,0
gnp_random_graph,40,0.5,6.0,232,0,0
gnp_random_graph,40,0.8,3.0,121,0,0
gnp_random_graph,80,0.5,6.0,3216,0,0
gnp_random_graph,80,0.8,4.0,498,0,0
gnp_random_graph,100,0.5,6.0,17844,0,0
gnp_random_graph,100,0.8,4.0,646,0,0
gnp_random_graph,10,0.5,4.0,23,0,0
gnp_random_graph,10,0.8,2.0,24,0,0
gnp_random_graph,20,0.5,5.0,32,0,0
gnp_random_graph,20,0.8,2.0,40,0,0
gnp_random_graph,40,0.5,6.0,192,0,0
gnp_random_graph,40,0.8,4.0,152,0,0
gnp_random_graph,80,0.5,7.0,17739,0,0
gnp_random_graph,80,0.8,4.0,478,0,0
gnp_random_graph,100,0.5,7.0,135976,0,0
gnp_random_graph,100,0.8,4.0,679,0,0
gnp_random_graph,10,0.5,5.0,19,0,0
gnp_random_graph,10,0.8,2.0,14,0,0
gnp_random_graph,20,0.5,5.0,31,0,0
gnp_random_graph,20,0.8,3.0,46,0,0
gnp_random_graph,40,0.5,6.0,294,0,0
gnp_random_graph,40,0.8,4.0,121,0,0
gnp_random_graph,80,0.5,6.0,7874,0,0
gnp_random_graph,80,0.8,4.0,483,0,0
gnp_random_graph,100,0.5,7.0,34537,0,0
gnp_random_graph,100,0.8,4.0,578,0,0
gnp_random_graph,10,0.5,4.0,17,0,0
gnp_random_graph,10,0.8,3.0,22,0,0
gnp_random_graph,20,0.5,5.0,35,0,0
gnp_random_graph,20,0.8,2.0,32,0,0
gnp_random_graph,40,0.5,6.0,277,0,0
gnp_random_graph,40,0.8,4.0,150,0,0
gnp_random_graph,80,0.5,6.0,18224,0,0
gnp_random_graph,80,0.8,4.0,445,0,0
gnp_random_graph,100,0.5,7.0,40805,0,0
gnp_random_graph,100,0.8,4.0,615,0,0
gnp_random_graph,10,0.5,4.0,13,0,0
gnp_random_graph,10,0.8,3.0,30,0,0
gnp_random_graph,20,0.5,5.0,35,0,0
gnp_random_graph,20,0.8,3.0,44,0,0
gnp_random_graph,40,0.5,6.0,640,0,0
gnp_random_graph,40,0.8,4.0,157,0,0
gnp_random_graph,80,0.5,6.0,4642,0,0
gnp_random_graph,80,0.8,4.0,453,0,0
gnp_random_graph,100,0.5,6.0,15379,0,0
gnp_random_graph,100,0.8,4.0,570,0,0
gnp_random_graph,10,0.5,4.0,24,0,0
gnp_random_graph,10,0.8,2.0,17,0,0
gnp_random_graph,20,0.5,5.0,30,0,0
gnp_random_graph,20,0.8,4.0,36,0,0
gnp_random_graph,40,0.5,6.0,193,0,0
gnp_random_graph,40,0.8,4.0,91,0,0
gnp_random_graph,80,0.5,7.0,9477,0,0
gnp_random_graph,80,0.8,4.0,471,0,0
gnp_random_graph,100,0.5,7.0,33247,0,0
gnp_random_graph,100,0.8,4.0,757,0,0
gnp_random_graph,10,0.5,4.0,23,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,4.0,36,0,0
gnp_random_graph,20,0.8,4.0,51,0,0
gnp_random_graph,40,0.5,6.0,228,0,0
gnp_random_graph,40,0.8,4.0,129,0,0
gnp_random_graph,80,0.5,7.0,15841,0,0
gnp_random_graph,80,0.8,4.0,344,0,0
gnp_random_graph,100,0.5,6.0,25234,0,0
gnp_random_graph,100,0.8,4.0,795,0,0
gnp_random_graph,10,0.5,4.0,9,0,0
gnp_random_graph,10,0.8,2.0,18,0,0
gnp_random_graph,20,0.5,5.0,38,0,0
gnp_random_graph,20,0.8,3.0,36,0,0
gnp_random_graph,40,0.5,6.0,173,0,0
gnp_random_graph,40,0.8,4.0,143,0,0
gnp_random_graph,80,0.5,7.0,18626,0,0
gnp_random_graph,80,0.8,4.0,432,0,0
gnp_random_graph,100,0.5,7.0,29700,0,0
gnp_random_graph,100,0.8,4.0,683,0,0
gnp_random_graph,10,0.5,4.0,14,0,0
